pair,arm,setup,level,metric,mean,sd,ci_lo,ci_hi,k
acousticguitar_violin,caption,w03,caption,accuracy,0.9765880373915179,0.004103432235265271,0.9748942238138975,0.9782818509691383,25
acousticguitar_violin,caption,w03,caption,balanced_accuracy,0.9785259790386956,0.0036056569736747065,0.9770376369903574,0.9800143210870339,25
acousticguitar_violin,caption,w03,caption,precision_macro,0.9733359908794099,0.004683196015924936,0.971402862575192,0.9752691191836278,25
acousticguitar_violin,caption,w03,caption,recall_macro,0.9785259790386956,0.0036056569736747065,0.9770376369903574,0.9800143210870339,25
acousticguitar_violin,caption,w03,caption,f1_macro,0.9757025650814771,0.00422314895481319,0.9739593348708011,0.9774457952921531,25
acousticguitar_violin,caption,w03,caption,roc_auc,0.996497385664983,0.001787630979434272,0.9957594878635478,0.9972352834664182,25
acousticguitar_violin,caption,w03,caption,pr_auc,0.9957471649842486,0.0015752513951371764,0.9950969331665234,0.9963973968019739,25
acousticguitar_violin,caption,w03,caption,log_loss,0.09059665054326174,0.007761346859491767,0.0873929240193415,0.09380037706718199,25
acousticguitar_violin,caption,w03,caption,brier,0.020368881534084147,0.0025318653838157026,0.019323778869305544,0.02141398419886275,25
acousticguitar_violin,caption,w03,caption,mcc,0.9518466370724725,0.008230313518723973,0.9484493306258641,0.9552439435190809,25
acousticguitar_violin,caption,w03,caption,kappa,0.9514166459873898,0.008438213112957588,0.947933522806081,0.9548997691686987,25
acousticguitar_violin,caption,w03,caption,precision_acousticguitar,0.9918893922157436,0.002471896086748285,0.9908690436601568,0.9929097407713303,25
acousticguitar_violin,caption,w03,caption,recall_acousticguitar,0.9690820332653612,0.00668032963596756,0.9663245287199863,0.9718395378107362,25
acousticguitar_violin,caption,w03,caption,f1_acousticguitar,0.9803395368369155,0.003508563500376152,0.9788912730045541,0.981787800669277,25
acousticguitar_violin,caption,w03,caption,precision_violin,0.9547825895430764,0.009259485442002554,0.9509604618060434,0.9586047172801093,25
acousticguitar_violin,caption,w03,caption,recall_violin,0.98796992481203,0.003721614637823929,0.9864337177924424,0.9895061318316177,25
acousticguitar_violin,caption,w03,caption,f1_violin,0.9710655933260389,0.004939611994077748,0.9690266217081234,0.9731045649439545,25
acousticguitar_violin,caption,w03,image,accuracy,0.9864361600071392,0.004780440814992875,0.9844628910227369,0.9884094289915415,25
acousticguitar_violin,caption,w03,image,balanced_accuracy,0.9873891377831602,0.004207624195973542,0.985652315877972,0.9891259596883484,25
acousticguitar_violin,caption,w03,image,precision_macro,0.9845715086532693,0.005638354445091707,0.9822441103274345,0.986898906979104,25
acousticguitar_violin,caption,w03,image,recall_macro,0.9873891377831602,0.004207624195973542,0.985652315877972,0.9891259596883484,25
acousticguitar_violin,caption,w03,image,f1_macro,0.9858897040919767,0.004945953397538246,0.983848114871365,0.9879312933125884,25
acousticguitar_violin,caption,w03,image,roc_auc,0.9979271253213493,0.0019847955119349893,0.9971078420009076,0.998746408641791,25
acousticguitar_violin,caption,w03,image,pr_auc,0.9978678390712605,0.001652986771601459,0.9971855196672008,0.9985501584753202,25
acousticguitar_violin,caption,w03,image,log_loss,0.08418222696696845,0.0072331848141727415,0.08119651502017629,0.08716793891376061,25
acousticguitar_violin,caption,w03,image,brier,0.01603119832617236,0.002361095850848371,0.01505658586008599,0.01700581079225873,25
acousticguitar_violin,caption,w03,image,mcc,0.9719543365918437,0.009731164475861379,0.9679375093189045,0.9759711638647829,25
acousticguitar_violin,caption,w03,image,kappa,0.9717825927294607,0.009887899822119977,0.9677010682853816,0.9758641171735397,25
acousticguitar_violin,caption,w03,image,precision_acousticguitar,0.9946971238640394,0.0033180208269338045,0.9933275121816073,0.9960667355464715,25
acousticguitar_violin,caption,w03,image,recall_acousticguitar,0.9827482003783504,0.008014468343346891,0.979439990441141,0.9860564103155598,25
acousticguitar_violin,caption,w03,image,f1_acousticguitar,0.988665251504775,0.004040358659869634,0.9869974734194618,0.9903330295900883,25
acousticguitar_violin,caption,w03,image,precision_violin,0.9744458934424989,0.011495717233225533,0.9697006945899915,0.9791910922950062,25
acousticguitar_violin,caption,w03,image,recall_violin,0.9920300751879698,0.005010964667451675,0.9899616506340654,0.9940984997418743,25
acousticguitar_violin,caption,w03,image,f1_violin,0.9831141566791785,0.005852607575297496,0.9806983190078925,0.9855299943504644,25
acousticguitar_violin,caption,w05,caption,accuracy,0.988742600896861,0.003349781609008773,0.9873598790079408,0.9901253227857811,25
acousticguitar_violin,caption,w05,caption,balanced_accuracy,0.9886058484540221,0.003219308884419675,0.987276983058824,0.9899347138492202,25
acousticguitar_violin,caption,w05,caption,precision_macro,0.9879433957574427,0.003833406387401385,0.986361043371624,0.9895257481432614,25
acousticguitar_violin,caption,w05,caption,recall_macro,0.9886058484540221,0.003219308884419675,0.987276983058824,0.9899347138492202,25
acousticguitar_violin,caption,w05,caption,f1_macro,0.9882578002209955,0.0034832796193120007,0.9868199730617863,0.9896956273802048,25
acousticguitar_violin,caption,w05,caption,roc_auc,0.998089936157742,0.0012603878265374146,0.9975696736332852,0.9986101986821988,25
acousticguitar_violin,caption,w05,caption,pr_auc,0.9978699406949236,0.0011409705467153356,0.9973989712008785,0.9983409101889688,25
acousticguitar_violin,caption,w05,caption,log_loss,0.0890387997427615,0.005616228367947835,0.0867205346126851,0.09135706487283791,25
acousticguitar_violin,caption,w05,caption,brier,0.015829552166973924,0.0019225745070879804,0.015035952415013607,0.016623151918934244,25
acousticguitar_violin,caption,w05,caption,mcc,0.9765479870433731,0.006931992458902596,0.973686601190344,0.9794093728964022,25
acousticguitar_violin,caption,w05,caption,kappa,0.9765160859174697,0.006965873564218922,0.9736407146315349,0.9793914572034046,25
acousticguitar_violin,caption,w05,caption,precision_acousticguitar,0.9920355884458253,0.002986016040739311,0.9908030216035293,0.9932681552881213,25
acousticguitar_violin,caption,w05,caption,recall_acousticguitar,0.989271847283984,0.004915723074052311,0.9872427365276043,0.9913009580403637,25
acousticguitar_violin,caption,w05,caption,f1_acousticguitar,0.9906432745733279,0.002801642018235642,0.9894868135870013,0.9917997355596545,25
acousticguitar_violin,caption,w05,caption,precision_violin,0.9838512030690603,0.0072285210982765795,0.9808674162095741,0.9868349899285465,25
acousticguitar_violin,caption,w05,caption,recall_violin,0.9879398496240601,0.004560508326051345,0.9860573643091741,0.9898223349389461,25
acousticguitar_violin,caption,w05,caption,f1_violin,0.985872325868663,0.004165589231364271,0.9841528551440738,0.9875917965932522,25
acousticguitar_violin,caption,w05,image,accuracy,0.9907383263056913,0.0036077221647901067,0.9892491317883585,0.992227520823024,25
acousticguitar_violin,caption,w05,image,balanced_accuracy,0.9905995826359255,0.0035951848294564197,0.9891155632762652,0.9920836019955859,25
acousticguitar_violin,caption,w05,image,precision_macro,0.9901149134207168,0.004051142182862542,0.9884426841158847,0.9917871427255489,25
acousticguitar_violin,caption,w05,image,recall_macro,0.9905995826359255,0.0035951848294564197,0.9891155632762652,0.9920836019955859,25
acousticguitar_violin,caption,w05,image,f1_macro,0.9903376956289418,0.003756757961969456,0.9887869821581231,0.9918884090997605,25
acousticguitar_violin,caption,w05,image,roc_auc,0.9987841070996779,0.0011907850814046402,0.9982925751763341,0.9992756390230217,25
acousticguitar_violin,caption,w05,image,pr_auc,0.9986409286097857,0.0011281261281424803,0.9981752610311441,0.9991065961884273,25
acousticguitar_violin,caption,w05,image,log_loss,0.08649290157270871,0.00544919104651709,0.08424358606012013,0.0887422170852973,25
acousticguitar_violin,caption,w05,image,brier,0.013862520915224165,0.0018465762867242936,0.013100291686802828,0.014624750143645502,25
acousticguitar_violin,caption,w05,image,mcc,0.9807130127289904,0.007478499015727806,0.9776260400566509,0.9837999854013298,25
acousticguitar_violin,caption,w05,image,kappa,0.9806758693753662,0.007512911080739707,0.9775746921007307,0.9837770466500018,25
acousticguitar_violin,caption,w05,image,precision_acousticguitar,0.9933591475915651,0.0037328238174110543,0.991818313650052,0.9948999815330781,25
acousticguitar_violin,caption,w05,image,recall_acousticguitar,0.9912743532417758,0.005166327075580454,0.9891417982377377,0.9934069082458139,25
acousticguitar_violin,caption,w05,image,f1_acousticguitar,0.9923046644796953,0.003009205662670179,0.9910625254319297,0.9935468035274609,25
acousticguitar_violin,caption,w05,image,precision_violin,0.9868706792498685,0.007619594487605613,0.9837254652292369,0.9900158932705001,25
acousticguitar_violin,caption,w05,image,recall_violin,0.9899248120300751,0.005713791035176928,0.9875662750102862,0.992283349049864,25
acousticguitar_violin,caption,w05,image,f1_violin,0.9883707267781883,0.004505071207388613,0.9865111247811961,0.9902303287751805,25
acousticguitar_violin,caption,w07,caption,accuracy,0.9888503669990852,0.0037156367097380713,0.9873166275469331,0.9903841064512374,25
acousticguitar_violin,caption,w07,caption,balanced_accuracy,0.988541448885462,0.003695247069414935,0.9870161258631769,0.9900667719077472,25
acousticguitar_violin,caption,w07,caption,precision_macro,0.9882166878782886,0.004135303405562893,0.9865097185281613,0.989923657228416,25
acousticguitar_violin,caption,w07,caption,recall_macro,0.988541448885462,0.003695247069414935,0.9870161258631769,0.9900667719077472,25
acousticguitar_violin,caption,w07,caption,f1_macro,0.9883656017061213,0.0038704848275359807,0.9867679440924504,0.9899632593197922,25
acousticguitar_violin,caption,w07,caption,roc_auc,0.9979422330732859,0.0011591729517472997,0.9974637499957281,0.9984207161508437,25
acousticguitar_violin,caption,w07,caption,pr_auc,0.9976567999217397,0.001161255326673517,0.9971774572820589,0.9981361425614206,25
acousticguitar_violin,caption,w07,caption,log_loss,0.10851648314442701,0.005913053869062635,0.10607569446938953,0.11095727181946449,25
acousticguitar_violin,caption,w07,caption,brier,0.019694746209570096,0.0020583443311827754,0.018845103428677432,0.02054438899046276,25
acousticguitar_violin,caption,w07,caption,mcc,0.9767571093530663,0.007717335624137705,0.9735715497742146,0.979942668931918,25
acousticguitar_violin,caption,w07,caption,kappa,0.976731584147274,0.007740466433766204,0.973536476639478,0.9799266916550701,25
acousticguitar_violin,caption,w07,caption,precision_acousticguitar,0.9914514113321622,0.003394783813381023,0.9900501134462671,0.9928527092180572,25
acousticguitar_violin,caption,w07,caption,recall_acousticguitar,0.9900453037859617,0.004861367381144144,0.9880386299568639,0.9920519776150595,25
acousticguitar_violin,caption,w07,caption,f1_acousticguitar,0.9907400476666818,0.0030968546680758074,0.9894617288876792,0.9920183664456843,25
acousticguitar_violin,caption,w07,caption,precision_violin,0.9849819644244152,0.007196109999863448,0.9820115562088082,0.9879523726400222,25
acousticguitar_violin,caption,w07,caption,recall_violin,0.9870375939849623,0.005192326818231434,0.9848943068146322,0.9891808811552923,25
acousticguitar_violin,caption,w07,caption,f1_violin,0.9859911557455608,0.00464477931124201,0.9840738850776505,0.9879084264134712,25
acousticguitar_violin,caption,w07,image,accuracy,0.9903801173504674,0.0040455704227579554,0.9887101879551684,0.9920500467457664,25
acousticguitar_violin,caption,w07,image,balanced_accuracy,0.9899179218468498,0.004296984423533839,0.9881442138526358,0.9916916298410637,25
acousticguitar_violin,caption,w07,image,precision_macro,0.9900274657013811,0.00428347841848517,0.9882593327120459,0.9917955986907163,25
acousticguitar_violin,caption,w07,image,recall_macro,0.9899179218468498,0.004296984423533839,0.9881442138526358,0.9916916298410637,25
acousticguitar_violin,caption,w07,image,f1_macro,0.9899558266745677,0.004223455261444483,0.9882124700267286,0.9916991833224068,25
acousticguitar_violin,caption,w07,image,roc_auc,0.9987818756408747,0.0009958267812836766,0.9983708185485703,0.9991929327331791,25
acousticguitar_violin,caption,w07,image,pr_auc,0.9985847487991036,0.0010375411797162305,0.9981564728494144,0.9990130247487928,25
acousticguitar_violin,caption,w07,image,log_loss,0.10572333911003536,0.005651237341062631,0.10339062298610781,0.1080560552339629,25
acousticguitar_violin,caption,w07,image,brier,0.017447368229509316,0.001988790407722693,0.01662643589713362,0.018268300561885012,25
acousticguitar_violin,caption,w07,image,mcc,0.9799440489609167,0.008422395229246022,0.976467455081096,0.9834206428407374,25
acousticguitar_violin,caption,w07,image,kappa,0.9799120670303985,0.008446494647264392,0.9764255253997409,0.983398608661056,25
acousticguitar_violin,caption,w07,image,precision_acousticguitar,0.9918932960217249,0.004610762365114505,0.9899900668590512,0.9937965251843986,25
acousticguitar_violin,caption,w07,image,recall_acousticguitar,0.992166670761369,0.004727109842889271,0.9902154157202896,0.9941179258024484,25
acousticguitar_violin,caption,w07,image,f1_acousticguitar,0.9920196972278318,0.003357440926903125,0.9906338137278745,0.9934055807277891,25
acousticguitar_violin,caption,w07,image,precision_violin,0.9881616353810372,0.0070245229485538865,0.9852620548191084,0.9910612159429659,25
acousticguitar_violin,caption,w07,image,recall_violin,0.9876691729323308,0.007076595440348607,0.9847480979022191,0.9905902479624425,25
acousticguitar_violin,caption,w07,image,f1_violin,0.9878919561213035,0.005090204651699699,0.9857908229094965,0.9899930893331106,25
acousticguitar_violin,caption,w10,caption,accuracy,0.9830291948330099,0.004092820055497168,0.9813397617479013,0.9847186279181185,25
acousticguitar_violin,caption,w10,caption,balanced_accuracy,0.9838703516893602,0.0037840832250570218,0.982308358904305,0.9854323444744154,25
acousticguitar_violin,caption,w10,caption,precision_macro,0.9809606183537656,0.004661192830931783,0.9790365725179194,0.9828846641896117,25
acousticguitar_violin,caption,w10,caption,recall_macro,0.9838703516893602,0.0037840832250570218,0.982308358904305,0.9854323444744154,25
acousticguitar_violin,caption,w10,caption,f1_macro,0.9823418088866839,0.004240574464458877,0.9805913857791493,0.9840922319942185,25
acousticguitar_violin,caption,w10,caption,roc_auc,0.9980310992945598,0.0013405030186561372,0.9974777668441474,0.9985844317449722,25
acousticguitar_violin,caption,w10,caption,pr_auc,0.9977676689625758,0.0012061832197981135,0.9972697810000956,0.9982655569250561,25
acousticguitar_violin,caption,w10,caption,log_loss,0.13853592863166322,0.007124626812758152,0.13559502722546563,0.14147683003786082,25
